dist,under_h0,n,estimator,q,weight,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,1,gauss_1.0,0,0.004722504408841869,0.8,False,2.071428406600269,0.8953179000018281
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,1,gauss_1.0,2,0.006845741249695848,0.95,False,1.9692087298734502,0.8880129999997735
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin_pyomo,1,gauss_1.0,0,0.08674827898163444,0.25,False,2.1561100870380576,0.8874197000004642
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,1,gauss_1.0,1,0.010754157537803415,0.55,False,1.881490197251468,0.8920081999967806
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin_pyomo,1,gauss_1.0,1,0.0548885120995643,0.85,False,1.7951013271475684,0.15049540000109118
"Gamma(k=2.0,s=1.0)",False,20,argmin_pyomo,1,gauss_1.0,0,0.0595093874239884,0.5,False,1.596866253251819,0.1455671000003349
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin_pyomo,1,gauss_1.0,2,0.08965382092408172,0.6,False,2.7185213090081763,0.15855390000069747
"Gamma(k=2.0,s=1.0)",False,20,argmin_pyomo,1,gauss_1.0,1,0.07910027146432501,0.1,False,1.6978237857128766,0.15384269999776734
"Gamma(k=2.0,s=1.0)",False,20,argmin_pyomo,1,gauss_1.0,2,0.07584908550689075,0.2,False,2.272581317569398,0.15974149999965448
